text;vote1;vote2;vote3;final_vote
I ain't gone lie. I'm too in the mood after these night shifts. Be wanting to come home and enjoy somebody daughter before she go to work and I fall asleep;0;0;-1;0
I knew I should have grabbed the extendo snow brush from Walmart that was on clearance for a $1 the other day! But listening to my son.. "No Mom you don't need another one" ;0;0;-1;0
i'll skip my classes on thursday bc of live votings so...;8;8;-1;8
tay gone be mad if i go to brunch without her but she's never up early;5;5;-1;5
i cannot deal with this anymore. thursday please come soon i cant wait for this to end;8;8;-1;8
will stop pouring my heart juices;0;0;-1;0
Taking a nice coffee break in between appointments. It has already been a long day, but a productive one at least;3;3;-1;3
thinking about the discourse yesterday about "being more like our grandmothers" and maybe men are right about that let me start carrying around a machete and assume a man is lying whenever he speaks;0;0;-1;0
i wanna make burgers tonight... like get that ground chicken & form my burger pattie's... ouuuuu maybe sliders.;7;7;-1;7
omad and vaping for the rest of the day i think;7;7;-1;7
Guysss, guess who has plans this weekend to make partner content I can aurally post to OF ;9;9;-1;9
I need to get back in the gym;0;0;-1;0
It's going to be nice af all weekend and I'm goin back home tomorrow;8;8;-1;8
I'm trying not to take any naps before my sleep study tonight but like... this is also why I'm getting the study done. I'm struggling and it's only 9am.;7;7;-1;7
mood on amorfoda and I'm not sure why;0;0;-1;0
I'm going to take a rain check on this 2PM meeting. I need to actually work;6;6;-1;6
im soooo tired of hearing toosii favorite song;0;0;-1;0
i been wanting to have moots who are nearby to collab;0;0;-1;0
for once I thought I wouldn't have to call in to the hospital for them to remember I'm supposed to get an appointment... but apparently that's impossible;0;0;-1;0
Getting put down for a procedure in a few hours only feels right finding a few bangers to sweat while I'm unconscious;6;6;-1;6
Somehow took me 40 mins to eat my lunch, perks of being a slow eater I guess;0;0;-1;0
Nobody Me texting my cousin phone sweet messages so she can do something for me;0;0;-1;0
Let me go workout before I change my mind;5;5;-1;5
Rema's Calm Down being played in the PATH....good way to start my day;2;2;-1;2
I don't even care where you've had sandwich, but nothing beats chickwizz;0;0;-1;0
Even on my day off, I'm at work lol bc I have nothing else to do.;7;7;-1;7
I should've got a smoothie I'm so hungry;4;4;-1;4
I don't be texting back cuz y'all convos be dry fr;0;0;-1;0
today has already been such a rollercoaster of emotions and it's only 9 am;7;7;-1;7
Do not sit down and wait for the opportunities to come. Get up and make them.;0;0;-1;0
I hope your happy because now I'm dead inside;0;0;-1;0
Im gonna try to have a fast until Friday because I have a date with my crush hihihi;9;9;-1;9
Job interview today. Hopefully goes well, would be nice to have a set work schedule again.;7;7;-1;7
i check on my friend less and less these days but i'm grateful none of them take it personally and know it's all love;0;0;-1;0
i'm pulling an all nighter man;7;7;-1;7
In a gorgeous creative flow this morning writing music for my band. Finished one tune and straight into another;6;6;-1;6
We have reached an unfortunate issue where Neville really enjoyed his loft exploration yesterday and is now sitting on the landing meowing because he wants to go back up there which is not happening;5;5;-1;5
I'm soooooo excited for this first Starship test flight... I hope we'll witness it today ... and that it at least will clear the tower;7;7;-1;7
Ayyoooooo ummm I think I might pass out soon and I haven't submitted my work pa;5;5;-1;5
What a tiring day & now have to watch this KL Rahul 's slogging;5;5;-1;5
i need to finish the pep edit before the game HOLD AWNNNNNN;6;6;-1;6
I don't have the energy to attend the class tomorrow;8;8;-1;8
Have you expectations low for tomorrow okay . i hope you dont get hurt just enjoy the twmap for tomorrow;8;8;-1;8
Perhaps I shall stop trying to share information in a good-natured way and simply curl up into a rancid peel of grapefruit and blow away.;0;0;-1;0
So bored i wanna cut my bangs lol;0;0;-1;0
now watching the gose epi today and its really chaotic HAHAHAHAHHA;4;4;-1;4
Man after cutting my nails I can't form right phrase on keyboard this is such a dilemma;0;0;-1;0
so happy I can wear whatever to work because it's a sweatpants type of day;7;7;-1;7
It's a lot to deal with right now, but thank you all for the responses. Friday, I go back to the docs for a huge test to learn more life changing news. Stay healthy friends.;8;8;-1;8
in class while my palmnueng are back what did I do to deserve this;5;5;-1;5
I wrote the cutest fic for my DM and wanna share with my party but also wanna wait until tonight;7;7;-1;7
not even lunch yet and im thinking about not going to school tomorrow but I should really show up more often blehhhhh;8;8;-1;8
I have been so out of it I couldn't even tell you who played last night. Surgery is Wednesday. I fly out tomorrow.;9;9;-1;9
Me And and saggey at the doctors office my girl got get some shots she not even phased by it;5;5;-1;5
I feel like im being punished.;0;0;-1;0
Anywho let me get off here enough tweeting for the day !;7;7;-1;7
I'm honestly too busy to be worrying about people not checking up on me. I thought we were all busy..;0;0;-1;0
i need to go somewhere warm preferably where theres a bar inside a pool;0;0;-1;0
the ht is definitely for everyone why r u so mad thoooo girlie go outside and touch some grass;0;0;-1;0
jaehyun listens to carpenters I'M GOING TO CRY FOR REAL;0;0;-1;0
I don't even be on ig for that man to text me;0;0;-1;0
I should do laundry tonight the way I just be throwing my clothes in his bin so he can do it;6;6;-1;6
guys, wish me luck on my exam pls ;5;5;-1;5
its fine guys if i close my eyes they will be back by like tomorrow;8;8;-1;8
After i EAt i gotta Work on myself and hit this gym;6;6;-1;6
You know I wasn't going to try and buy the folklore vinyl but now I feel the urge. I just hope they have some left over on Sunday;9;9;-1;9
I own my morning routine can get up and move through my mood is not a much less anxiety.;0;0;-1;0
I'll tell you, he says, with his grinch-feet ice-cold in the house. KISS, too. And onto a board that could just barley hear it.;0;0;-1;0
me when i spend 2 hours non stop on my phone and then get a headache:;0;0;-1;0
i take my good morning back, school already aggravating me;6;6;-1;6
And the rice while I'm at work;0;0;-1;0
I wish it was nap time, I had the worst sleep last night. But I gotta sort my kiddos snacks out, and take her to dance class bed by 8pm plz ;7;7;-1;7
it's my sisters birthday tomorrow and i'm gonna post the video of me throwing her on the floor as a child for her birthday post i think;8;8;-1;8
Let me out this Poptart down and pick my smoothie back up;3;3;-1;3
Because the work never stops I am filming a very wholesome Old YouTube style video today. We're going, dear friends, on a Book Hunt.;7;7;-1;7
I'll be back in about an hour or so. Going on my lunch nap.;5;5;-1;5
Me to my GP yesterday: The arthritis pain in my foot is really, really bad. Can I maybe have something just until I get steroid shots Wednesday. GP's office: Let's schedule a phone visit Thursday.;9;9;-1;9
Knowing I'm going to completely ignore work for The Eighth Sense for 2 hours starting at 11am, I really should ... be doing more work right now.;6;6;-1;6
quick someone who's watched mando: is this going to ruin my day like i need to know the preparedness level;3;3;-1;3
Starting my mini vacation off right...Self care day today! Getting my nails and toes done! Meal prepping for the week and then tomorrow it's FINALLY game day!! I miss my TD Garden peeps;8;8;-1;8
Dawg ion be having no service at work. I still be on my phone tho;0;0;-1;0
At your earliest convenience, leave men alone abeg Someone's husband just asked me to make beef stew for him tonight, a re he is craving a home cooked meal! ;7;7;-1;7
i hope i dont get standing tomorrow for the finale i cant stand for 5 hours and i definitely cannot stand in the same place without going to the bathroom for 5 hours straight;8;8;-1;8
i plan on spending my check at EMLINE Friday needa come on;9;9;-1;9
i'll be the whole day out tomorrow due to a cambridge exam and i'm DYING TwT;8;8;-1;8
one thing about it i never follow trends cause the girls a love something today .. hate it tomorrow then back loving it weeks later . LIKE what you like;0;0;-1;0
I better see everyone at my gems club on Thursday to make slime;9;9;-1;9
Feeling burnt out today, leave me a joke or funny meme to cheer me up ;7;7;-1;7
I will watch the video later because now I have to make iftari;6;6;-1;6
Tomorrow is the last day to lie (I meant) to file your taxes or file an extension. I've already filed an extension.;8;8;-1;8
Next few days will become very hectic for me... Pray for me y'all.;9;9;-1;9
Looks to be a nice warm day out so when I've finished watching this programme im gonna go and do more of the garden I've given the kitchen floor a clean hopefully won't take too long to dry;6;6;-1;6
Back to my pfp while we wait for the next cult to drop;0;0;-1;0
Nope, I am in no emotional place to watch a Bangtan bomb of yesterday.;0;0;-1;0
Tweeting with my eyes closed. I need another big breakfast anyone want to join me in an hour;5;5;-1;5
Asked my daughter to put the blanket she used back on the blanket ladder this morning and she literally broke down because "she does everything around here" Ok.ok. ;0;0;-1;0
I'm to tired. I just need to go back and restart the day. I left my air pods & water at home;0;0;-1;0
why yes, i did just grind out noble garden eggs a couple hours before it ends ;0;0;-1;0
well that's one way to start my morning;0;0;-1;0
ok i am hungry after lunch so maybe i did not eat thatt much;0;0;-1;0
First day of spring break for my kids , we taking our mini road trip today.;7;7;-1;7
Trying to rest and ice my knee, but my dog repeatedly reminds me that this is not possible. Guess it's just going to be ibuprofen today ;7;7;-1;7
I'm so self-indulgent spending all night with Daddy like this, he's my favorite person, I can't help it ;7;7;-1;7
Let's see what Jordan can do tomorrow.;8;8;-1;8
Samantha said Darius be sweeping at the firehouse and I literally have tears in my eyes from laughing so hard;0;0;-1;0
my lecture is ending and I'm going to heat up my dinner and I'll watch kids in sydney;5;5;-1;5
Ugh I really need to find a outfit for this wedding Saturday;9;9;-1;9
I finally got my books unpacked;0;0;-1;0
Currently listening to a playlist that I found titled: unhinged older sibling... and it's all my favorite songs. So, take that as you will.;5;5;-1;5
I'm feeling so unmotivated to do anything today I just want to read a book and cuddle my cat, but the whole time I'll be feeling the looming pressure of multiple deadlines ;7;7;-1;7
the outside cat has decided he's not eating unless i watch him;3;3;-1;3
miss showering with someone and stepping out of the bathroom all pruned up from taking two hours doing things under the running water haahh;0;0;-1;0
About to go finish my sleeve In a hour i should of poped a yerky;5;5;-1;5
the more i sit with the movie from last night, it wasn't exactly a dud, i like it more and more. it's just not what i was looking for in the moment. i apologize for calling it a dud last night ;0;0;-1;0
This morning, on the Neponset River Trail, I saw a woman jogging, smoking a joint, and FaceTiming. At dawn. I feel like an underachiever and might just go back to bed.;0;0;-1;0
Yay I fixed today's problem all by myself with minimal screaming involved LOL.;0;0;-1;0
and this is why I leave my phone on dnd;0;0;-1;0
I drew my sona today at school, signed it as one of my classmates and put it in male's bathroom We do a little trolling :3;0;0;-1;0
Gm My building has maintenance going on today so unfortunately no stream Will be back tomorrow normal time, have a great Wednesday!;8;8;-1;8
I am stressed out. Someone give me free pass till thursday. I might actually kms.;8;8;-1;8
Bwoy i stay getting checked to be single;0;0;-1;0
I have back to back meetings ALL DAY LONG. Jesus be some coffe Lord;7;7;-1;7
It's actually so hot today, might go swimming in the potholes in my street.;7;7;-1;7
i cant believe they would casually announce this for tomorrow i dont have time to prepare;8;8;-1;8
I don't know what might happen in the next few hours but at this very moment as I send this tweet, I'm feeling really great. I'm grateful for that.;6;6;-1;6
Welcome to Wednesday! Be kind to one another today! Also, it is National Banana Day ! As for me, I have adulting to do, The Municipal Fortress of the DMV has a task for me to complete.;7;7;-1;7
tomorrow is rahul's day and haven't completed that trash edit I'm making;8;8;-1;8
tonight i keep learning about and being transfixed by music that will assuredly just give me nightmares later;6;6;-1;6
A student hugged me and said they'd missed my classes That's going to make the rest of my day all cheery!;7;7;-1;7
today i just want one special slice of pizza. that is all;7;7;-1;7
planning on cleaning my room;5;5;-1;5
Our next webinar is on Sunday I'll be dropping a WhatsApp link to organize anyone who would like to be Join Us. More information soon;9;9;-1;9
oh no hope someone doesn't tease me while i'm at workk (pls someone);7;7;-1;7
Sitting in class rn, I wonder what's going on;5;5;-1;5
Got myself some Starbucks, bout to get me some breakfast & have a good ol Tuesday;4;4;-1;4
I miss the night air sa pinas;0;0;-1;0
Barbershop appointment today for my boo. I wouldn't dare wait on a chilli bowl haircut $40 line ups for beans;7;7;-1;7
I absolutely love heating up the family group chat first thing in the morning. It sets the tone for a comedic day.;0;0;-1;0
finally got another chunk of cleaning done. played some stardew. chilling out a little bit before i finally go to bed for the day.;5;5;-1;5
I haven't been to a Drake night in a minute... should i attend;6;6;-1;6
Bored so just put this morning on to see how much Philip Schofield is sweating;5;5;-1;5
Apologies in advance if I'm a bit sluggish tomorrow... RT if you get it;8;8;-1;8
I need an outfit that is also a sleeping bag so I think that says a lot more than I anticipated today.;7;7;-1;7
My walk to the office does be so calming when the sun behind the clouds;0;0;-1;0
My bathroom is so far away from everything that I might start singing in the shower again;0;0;-1;0
i hate feeling like im forcing someone to talk to me.;0;0;-1;0
I think I'm going to stream drafting the new set tonight and maybe some pioneer rogues. I really want to see if this draft is fun;7;7;-1;7
I was going to troll a post but decided not to. I'm generous. Praise me !;0;0;-1;0
Dude, of cos i won't contact ya via ws or tele. I only gave people my Snapchat. So if you don't dm me, perhaps you will have your iftar with yourself tomorrow.;8;8;-1;8
i am so glad that i don't work tonight i'm starting to feel burned out;7;7;-1;7
stuck in a cycle of getting up like hours before work starts, so gonna try to watch something new..;5;5;-1;5
In the mood to run away with my bd;0;0;-1;0
I will eat japanese food tomorrow yes good thing there's a ramen shop near the office;8;8;-1;8
Be glad when today is over, things really getting on top of me now;7;7;-1;7
Just found out Billy Graham and the newsboys are gonna be playing the outdoor venue right across the street from my house. Guess I'll be at the movies all day.;7;7;-1;7
I need a nice Glass of Lemonade;4;4;-1;4
Just got off my 8 hour flight where I watched alvin and the chipmunks over and over for the entirety of the flight. A much needed reset.;0;0;-1;0
Prob will be letting calls go to vm now for the rest of the day cause how yall drained me 32 min in;7;7;-1;7
So get ya hair did put some clothes on tell the dj play ur songggg;0;0;-1;0
plus i'm off tomorrow so i'm most definitely running out of here today;8;8;-1;8
Why do I have to wear jeans of I'm just gonna stay at home all day;7;7;-1;7
I was really listening to the lyrics of the songs that popped up in my walking playlist this morning and Heart's All I wanna do came on.;0;0;-1;0
I am forever mentally at the after party talking to him about the album he just launch;0;0;-1;0
this sounds bad but I went out and bought chocolate but I got home and decided it wouldn't make me feel better so I offered it to my dad;0;0;-1;0
I'm late but at least I'm going;4;4;-1;4
My boys are ransacking my room and I'm just sitting in the living room. Waiting for them to finish and then arranging it is a lot easier than asking them to stop;4;4;-1;4
Showering then getting in bed with the towel on is the biggest setup. I do not want to move;4;4;-1;4
What for Spotify is down, I'm listening since an hour music on Spotify and everything functions pretty well.;5;5;-1;5
My outfit gone be so cute later;7;7;-1;7
sowing (not drinking any water all weekend on top of working out), reaping (woke up with horrible leg cramps this morning);0;0;-1;0
I be done wit her until she ask me am I done fr;0;0;-1;0
I'm going to get thru work and then I'm going to enjoy my rest day and make a big batch of kava and clean my room and hang my clothes up.;7;7;-1;7
i'm gonna ignore the fact that the medley is in one hour so i can stay sane;5;5;-1;5
I need to go buy some new cologne by the end of the day.;7;7;-1;7
I started streaming on Twitch, I might stream again today or tomorrow. I could drop a link if you wanna support ;8;8;-1;8
I really have to fill up my snack cabinet at work!!!;0;0;-1;0
everyone dealing with people and connie is out here in a saw trap house with lord of the rings goblin chasing her on all fours;0;0;-1;0
Really is too idle at home, had tried rice cooker cake, had tried French fries, next is going to make dumplings and Fried dough sticks.;5;5;-1;5
ive already started the cycle of leaving something in the sun to dry until it gets wetted by rain again so i just leave it;0;0;-1;0
I think I'll take a ride to Starbucks;4;4;-1;4
Back to work tomorrow! Not sure if i'm mentally prepared.;8;8;-1;8
When you have a bit of a crappy morning.. what better way to cheer yourself up than chemical brother tickets.;0;0;-1;0
Can y'all send me your energy and positive thoughts that my coworker will open for me tomorrow cause I'm literally so tired and its the type of tired where it physically hurts to be awake;8;8;-1;8
Going to be listening to my tape otw to orange crush;5;5;-1;5
I'm ready to be off and I just clocked in;7;7;-1;7
idk what's worse ab jogging in the morning: finding a place my phone won't annoy me me or having to wear a jacket;0;0;-1;0
I write my to-do list on any piece of paper lying on my desk and then forget it and spend an hour to search for it;0;0;-1;0
I keep forgetting my headphones for cardio;0;0;-1;0
the fact that i can still pull with zero makeup, sweats, and 4 hrs of sleep.... ;0;0;-1;0
So I'm really not feeling well so my person served got up and did the dishes for me I wanna cry their soo kind and sweet;0;0;-1;0
I just need to stop taking the time to find something to watch cause I don't be watching it;0;0;-1;0
Xikers albuns are coming tomorrow!! So exited to see who I gettt;8;8;-1;8
I've been kicking down doors I got tired of knocking, pack ya bags & get ready we got plenty of options;0;0;-1;0
AT THIS POINT I JUST WANNA CRAWL BACK TO MY MOM AND LAY BESIDE HER I MISS MY MOM SM;0;0;-1;0
I'm giving myself a haircut today and tomorrow.;8;8;-1;8
I left my water bottle I'm thrown off for the rest of the day;7;7;-1;7
so tired from my workout that I almost used lash extension shampoo as toothpaste;0;0;-1;0
Wow. Just seen what looks like a mother and daughter duo at the gym, and let me just say this is goooooals ;0;0;-1;0
How come I barely eat and maintain or gain and the morning after I had an entire pint of ben and jerrys I lose half a kilo;0;0;-1;0
No stream today, me do tomorrow instead c: Gona try to finally refit my office;8;8;-1;8
If I am to successfully get through these tasks for the rest of the afternoon, I will need to plug some Russian Doomer music into my ears;6;6;-1;6
one of my teachers finishes explaining a topic today and put us the exam tomorrow just like that  I'll be revising all day again ^^;8;8;-1;8
My head been all over the place I really need to find me a peace of mind;0;0;-1;0
I need a cup of coffee right about now;3;3;-1;3
literally my tt fyp is all hyunsuk i cant stop replaying,scrolling and simping its been 2hrs i think idk maybe more since last night when i open my acc after long time;0;0;-1;0
My stray kitty let me sit nearby while he ate this morning! Even got a little meow from him as he walked up. He's still scared out of his mind but progress! I cannot wait to finally pet him;0;0;-1;0
now if i'd figure out i'd take you back to my house AND WE COULD MEDDLE ABOUT OENWOKDWKOAKXKWLQLS;0;0;-1;0
thinking about how someone complimented my shirt yesterday and i didn't even know what i had on and had to look and flat out told her i had no idea what i was wearing;0;0;-1;0
I FORGOT TO BUY THINGS ON STEAM;0;0;-1;0
Birthday stream in an hour and some change! Will be beanboozling myself for deaths in whatever I'm playing as well as for subs/tip goals! Hope I don't frow up!;5;5;-1;5
I am not ready for the snooze up by licking my dog wants to improve morning routine to five times. I need a sleep in my face. I;0;0;-1;0
Had fun the weekend now this my grind week morning to night to morning again I gotta get it;9;9;-1;9
I wanna make some spinach dip to see if I got it.;4;4;-1;4
I'm not very happy I have to work 4 hours before I can go on lunch and I haven't even clocked in yet.;6;6;-1;6
i wanna go on late night walks but i'm a girl;0;0;-1;0
ok fit is eating i look kinda sexy...;0;0;-1;0
I've been slacking on my manga reading, I'm behind on jjk and chainsaw ;0;0;-1;0
If I can buy some books next Friday I will put off my suicide (;10;10;-1;10
One thing about it I will go to that baccarat table lol;0;0;-1;0
Knowing how I easily get distracted I stream in both my phone and pc.;0;0;-1;0
I do need a doze of love I guess;0;0;-1;0
Time to head to the ballpark and cop me a jersey;6;6;-1;6
The one single BTS poster that is decorating my dorm watching me go through 49 emotions in a span of 20 minutes because I'm going through the content I managed to miss while I was asleep;5;5;-1;5
Let me get a nap in before class;4;4;-1;4
up first thing in the morning to make my partner creme brulee because she asked me and because she deserves it.;4;4;-1;4
Can't wait to go home and have breakfast at harbor club ! I often think of the bake and salt fish;8;8;-1;8
I'm bout to watch SpongeBob and do work until my conference call at 11 & 12;6;6;-1;6
I want to force someone to watch me eat unsweetened oatmeal.;0;0;-1;0
I do not be minding though, look lemme find something to watch for the day;7;7;-1;7
( and michael is wondering around the pizzeria, it looks like the brunette seems to be exhausted but it's trying to stay awake...holding his flashlight to bright whenever he passes );0;0;-1;0
the amount of anxiety i have over buying tickets today and why would they do this to me while im IN THE OFFICE;7;7;-1;7
when i eat with my bf i gaslight myself into believing i'm full because i know he's still hungry;0;0;-1;0
i hate that feeling when ive been waiting to eat a certain food/snack the whole day and then when i get home i find out someone else ate it;0;0;-1;0
lol i meant trendmo, not neufmode it's only monday and i cannot get my act together already. can it be the weekend now pls i am SO tired from working;9;9;-1;9
i have therapy on saturday and i already know im gonna bring up those eggs and my therapist is gonna be so concerned (its my first appointment with her);9;9;-1;9
One thing I actually like bout Amazon is I can call off and still get paid for the rest of the day;7;7;-1;7
thinking about not working on stuff today because for the last week or so I've been shuffling work (read: hobby) around too much towards the weekend and late night;7;7;-1;7
Omgg im off work 3h early im gonna go shopping and cry in the fitting rooms bc of my reflection;6;6;-1;6
I just want everything to magically get done from my bed;0;0;-1;0
I REALY HOPE, I CAN BREAK A LEG TOMORROW HUHU;8;8;-1;8
everyone making me cry stop I am glad that I watched boysplanet or I won't meet my lovely moots;0;0;-1;0
Well it's Monday morning again. Hopefully your day is good, your food is amazing, and you work is easy. I pray you all roll nat 20 on any checks that happen and pass those trial with ease and flaire!!;7;7;-1;7
I'll let go some of my pcs tomorrow, mostly shua;8;8;-1;8
I keep on wondering bout what would happen if I just disappear;0;0;-1;0
And I am now contemplating watching the rest of the horror movie;5;5;-1;5
I wish I didn't eat so early, now I'm hungry again. I already consumed my cals for the day ;7;7;-1;7
I'm just so tired of cellphones.;0;0;-1;0
Seems I won't have my pc for tomorrow so I need to go buy a cable for my laptop fast;8;8;-1;8
I find out if I pass probation at my job on Friday so all week I'm gonna be extremely anxious and on edge;9;9;-1;9
Just wait until I get in this gym.;5;5;-1;5
Child it's to early to be arguing on the phone in the doctors office;4;4;-1;4
Been slacking on it way too much so if i feel like readin at all tomorrow i will read as much berserk as possible;8;8;-1;8
I can shop for my son all day but I don't have the energy or patience to shop for myself;0;0;-1;0
I'm bout to finish watching this movie;5;5;-1;5
The coffee she is at full of blunder but.;0;0;-1;0
I'm out for an hour walk, then heading to the gym to go swimming if the pool isn't packed.;6;6;-1;6
I give myself until Friday to feel like this then I have to move on fr.;8;8;-1;8
Getting really pumped for tonight's art stream! I'm even practicing chibi eye designs while at work;7;7;-1;7
I woke up early this morning, put my frogtags on, loaded my water blaster sidearm and sheathed my plastic minecraft sword. Ready for the day. Say hello my frens.;7;7;-1;7
i love a nice cold bottle of water;0;0;-1;0
Back on cam today! Gunna do a few hours this afternoon, and maybe also an evening bit;7;7;-1;7
I will see my neurosurgeon tomorrow and I'm kind of nervous. Wish me luck mooties!;8;8;-1;8
I wish i was alone all day for the rest of the day because it's too much im not handling rn;7;7;-1;7
Ordered some of that Kaior tea y'all pray for me when it get here, I'm just tryna unbig my body ;9;9;-1;9
Whew as soon as I get off I'm taking a nap, my kid gonna have to understand ;6;6;-1;6
Miss Swift, I do not have time for your spotify games. I am trying to work and just want to listen to music;6;6;-1;6
I should look for an Idd outfit because pilau must be eaten. Ah!;5;5;-1;5
Me: *thinking my tweet is gonna be great* The tweet: talking about a pigeon I saw;0;0;-1;0
My peak I'm Him moment right now is cutting myself four times while peeling onions and not even realizing until after I'm done.;0;0;-1;0
Forgot my AirPods now I'm ganna have to listen to the sound of my coworkers voices all day;7;7;-1;7
I'm sorry for missing two days in a row I'm trying to catch up, hopefully today is the day I get at least Monday's and yesterday's out. Might have to double up tomorrow as well;8;8;-1;8
ARMY help me.. Suggest me to do something so that I don't go into thinking about JHOPE leaving us tomorrow... I have ADHD and it's becoming so difficult to control my thoughts right now...;8;8;-1;8
I left my lip gloss at home, I already know how today about to play out ;7;7;-1;7
at least my mom is in a good mood judging by how she has rude by magic on repeat the entire ride home again;4;4;-1;4
I bought a vegan matcha n vanilla frapino bc it's hot outside but the vanilla is so overpowering n sweet it's making me nasous uuf;3;3;-1;3
i wanna read the kny manga but i have to study;5;5;-1;5
cant wait to cry to champagne problems with my frensss;6;6;-1;6
I never do much on Monday's lol that's my extra rest day but I'm really tryna enjoy alllll of this maternity leave;10;10;-1;10
Kudos to the moms of two under two. I've finally reached the stage where I get to sleep through the night, and I cannot imagine starting all over rn ;0;0;-1;0
i know now he will text lesser and i am okay with it;0;0;-1;0
i got no riding partner for the concert tomorrow and my wig still hasn't made it lemme roll up & recalibrate;8;8;-1;8
